Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Askew, B.J.",RB,TB,2009,5,1,,,2,2,3,,,,,,,
"Ausberry, David",TE,OAK,2011,12,1,-2,,2,2,14,,,,,,,
"Austin, Miles",WR,DAL,2009,16,2,-2,,124,81,1320,11,,,,,,
"Austin, Miles",WR,DAL,2010,16,7,93,1,119,69,1041,7,,,,,,1
"Austin, Miles",WR,DAL,2011,10,2,3,,73,43,579,7,,,,,,
"Austin, Terrence",WR,WAS,2010,5,,,,5,3,47,,,,,,,
"Avant, Jason",WR,PHI,2009,16,,,,58,41,587,3,,,,,,
"Avant, Jason",WR,PHI,2010,16,,,,74,51,573,1,,,,,,
"Avant, Jason",WR,PHI,2011,16,,,,81,52,679,1,,,,,2,
"Avery, Donnie",WR,STL,2009,16,4,30,,97,47,589,5,,,,,1,
"Avery, Donnie",WR,TEN,2011,8,,,,11,3,45,1,,,,,,
"Bajema, Billy",TE,STL,2009,16,,,,11,8,94,,,,,,,
"Bajema, Billy",TE,STL,2010,13,,,,24,14,145,2,,,,,,
"Bajema, Billy",TE,STL,2011,16,,,,14,9,71,,,,,,,
"Baker, Chris",TE,NE,2009,16,,,,19,14,142,2,,,,,,
"Baker, Chris",TE,SEA,2010,16,,,,19,9,116,1,,,,,,
"Baker, Josh",TE,NYJ,2011,11,,,,4,3,27,1,,,,,,
"Baldwin, Doug",WR,SEA,2011,16,1,-2,,85,51,788,4,,,,,,
"Baldwin, Jonathan",WR,KCC,2011,11,,,,52,21,254,1,,,,,,
"Ball, Lance",RB,DEN,2010,10,41,158,,6,3,16,,,,,,,
"Ball, Lance",RB,DEN,2011,16,96,402,1,32,16,148,1,,,,,2,
"Ballard, Jake",TE,NYG,2010,1,,,,,,,,,,,,,
"Ballard, Jake",TE,NYG,2011,14,,,,61,38,604,4,,,,,,
"Banks, Brandon",WR,WAS,2010,13,2,6,,5,2,10,,,,,,,
"Banks, Brandon",WR,WAS,2011,16,1,1,,1,1,10,,,,,,,
"Banks, Gary",WR,SD,2010,2,,,,3,1,2,,,,,,,
"Barber, Marion",RB,DAL,2009,15,214,932,7,36,26,221,,,,,,2,
"Barber, Marion",RB,DAL,2010,13,113,374,4,15,11,49,,,,,,,
"Barber, Marion",RB,CHI,2011,11,114,422,6,9,5,50,,,,,,1,
"Barden, Ramses",WR,NYG,2009,3,,,,1,1,16,,,,,,,
"Barden, Ramses",WR,NYG,2010,6,,,,7,5,64,,,,,,,
"Barden, Ramses",WR,NYG,2011,8,,,,19,9,94,,,,,,,
"Barnidge, Gary",TE,CAR,2009,16,,,,21,12,242,,,,,,,
"Barnidge, Gary",TE,CAR,2010,16,,,,9,,,,,,,,,
"Bartel, Richard",QB,ARI,2010,1,,,,,,,,28,16,150,,1,
"Bartel, Richard",QB,ARI,2011,2,1,9,,,,,,22,10,86,1,,1
"Baskett, Hank",WR,PHI,2009,12,,,,12,5,34,,,,,,,
"Baskett, Hank",WR,PHI,2010,8,,,,4,1,18,,,,,,,
"Batch, Charlie",QB,PIT,2009,1,,,,,,,,2,1,17,,,
"Batch, Charlie",QB,PIT,2010,3,7,30,,,,,,49,29,352,3,3,
"Batch, Charlie",QB,PIT,2011,3,3,-2,,,,,,24,15,208,,,1
"Battle, Arnaz",WR,SF,2009,15,,,,5,5,40,,,,,,,
"Battle, Arnaz",WR,PIT,2010,15,,,,2,,,,,,,,,
"Battle, Arnaz",WR,PIT,2011,10,,,,1,0,0,,,,,,1,
"Battle, Jackie",RB,KC,2009,5,7,21,,2,2,-3,,,,,,,
"Battle, Jackie",RB,KC,2010,16,20,50,1,3,1,9,,,,,,,
"Battle, Jackie",RB,KCC,2011,15,149,597,2,13,9,68,,,,,,,
"Becht, Anthony",TE,ARI,2009,16,,,,12,7,61,1,,,,,1,
"Becht, Anthony",TE,KCC,2011,9,,,,4,3,26,,,,,,,
"Beck, John",QB,WAS,2011,4,10,43,2,,,,,132,80,858,2,1,4
"Beckum, Travis",TE,NYG,2009,15,,,,10,8,55,,,,,,,
"Beckum, Travis",TE,NYG,2010,16,,,,18,13,116,2,,,,,,
"Beckum, Travis",TE,NYG,2011,13,,,,10,5,93,1,,,,,,
"Bell, Joique",RB,PHI,2010,8,,,,,,,,,,,,,
"Bell, Kahlil",RB,CHI,2009,7,40,220,,3,1,4,,,,,,,
"Bell, Kahlil",RB,CHI,2011,13,79,337,,23,19,133,1,,,,,1,
"Bell, Mike",RB,NO,2009,13,172,654,5,4,4,12,,,,,,2,
"Bell, Mike",RB,PHI,2010,16,47,99,,10,7,67,,,,,,,
"Benn, Arrelious",WR,TB,2010,15,6,35,,38,25,395,2,,,,,,
"Benn, Arrelious",WR,TBB,2011,14,5,-10,,51,30,441,3,,,,,,
"Bennett, Earl",WR,CHI,2009,16,,,,88,54,717,2,,,,,,
"Bennett, Earl",WR,CHI,2010,14,2,9,,70,46,561,3,,,,,,
"Bennett, Earl",WR,CHI,2011,11,,,,43,24,381,1,,,,,1,
"Bennett, Martellus",TE,DAL,2009,14,,,,30,15,159,,,,,,,
"Bennett, Martellus",TE,DAL,2010,16,,,,48,33,260,,,,,,,
"Bennett, Martellus",TE,DAL,2011,14,,,,26,17,144,,,,,,,
"Bennett, Michael",RB,SD,2009,6,23,65,,7,6,65,,,,,,,
"Bennett, Michael",RB,OAK,2010,7,2,11,,2,2,9,,,,,,,
"Benson, Cedric",RB,CIN,2009,13,301,1251,6,24,17,111,,,,,,,
"Benson, Cedric",RB,CIN,2010,16,321,1111,7,37,28,178,1,,,,,,5
"Benson, Cedric",RB,CIN,2011,15,273,1067,6,22,15,82,,,,,,2,
"Berrian, Bernard",WR,MIN,2009,16,,,,92,55,618,4,,,,,,
"Berrian, Bernard",WR,MIN,2010,14,1,-8,,54,28,252,,,,,,,
"Berrian, Bernard",WR,MIN,2011,5,,,,23,7,91,,,,,,,
"Bess, Davone",WR,MIA,2009,16,2,11,,113,76,758,2,,,,,2,
"Bess, Davone",WR,MIA,2010,16,2,-3,,125,79,820,5,,,,,,
"Bess, Davone",WR,MIA,2011,16,2,9,,85,51,537,3,,,,,2,
"Best, Jahvid",RB,DET,2010,16,171,555,4,80,58,487,2,,,,,,1
"Best, Jahvid",RB,DET,2011,6,84,390,2,40,27,287,1,,,,,,
"Betts, Ladell",RB,WAS,2009,10,56,210,2,20,17,179,,,,,,,
"Betts, Ladell",RB,NO,2010,8,45,150,2,30,23,141,,,,,,,1
"Blount, LeGarrette",RB,TB,2010,13,201,1007,6,6,5,14,,,,,,,3
"Blount, LeGarrette",RB,TBB,2011,14,184,781,5,25,15,148,,,,,,3,
"Boldin, Anquan",WR,ARI,2009,15,3,12,1,127,84,1024,4,,,,,2,
"Boldin, Anquan",WR,BAL,2010,16,2,2,,109,64,837,7,,,,,,1
"Boldin, Anquan",WR,BAL,2011,14,,,,106,57,887,3,,,,,,
"Bolen, Brock",RB,JAC,2009,3,,,,3,,,,,,,,,
"Bolen, Brock",RB,JAC,2010,4,,,,3,1,15,,,,,,,
"Bolen, Brock",RB,JAC,2011,13,2,14,,5,2,6,,,,,,,
"Boller, Kyle",QB,STL,2009,7,13,76,,,,,,176,98,899,3,2,6
"Boller, Kyle",QB,OAK,2010,5,7,18,,,,,,4,2,25,,1,
"Boller, Kyle",QB,OAK,2011,2,9,38,,,,,,28,15,161,,,3
"Booker, Lorenzo",RB,MIN,2010,4,,,,6,5,32,,,,,,,1
"Booker, Lorenzo",RB,MIN,2011,15,13,52,,14,8,82,,,,,,2,
"Booker, Marty",WR,ATL,2009,16,1,7,,32,16,181,1,,,,,,
"Boss, Kevin",TE,NYG,2009,15,1,16,,69,42,567,5,,,,,,
"Boss, Kevin",TE,NYG,2010,15,,,,70,35,531,5,,,,,,1
"Boss, Kevin",TE,OAK,2011,14,,,,40,28,368,3,,,,,,
"Bouman, Todd",QB,JAC,2010,1,2,8,,,,,,34,18,222,2,2,
"Bowe, Dwayne",WR,KC,2009,11,,,,87,47,589,4,,,,,,
"Bowe, Dwayne",WR,KC,2010,16,1,4,,133,72,1162,15,,,,,,
"Bowe, Dwayne",WR,KCC,2011,16,1,12,,142,81,1159,5,,,,,,
"Bradford, Allen",RB,TBB,2011,1,5,13,,,,,,,,,,,
"Bradford, Sam",QB,STL,2010,16,27,63,1,,,,,590,354,3512,18,15,2
"Bradford, Sam",QB,STL,2011,10,18,26,,,,,,357,191,2164,6,7,6
"Bradley, Mark",WR,KC,2009,13,2,20,,57,24,320,2,,,,,,
"Bradshaw, Ahmad",RB,NYG,2009,15,163,778,7,30,21,207,,,,,,2,
"Bradshaw, Ahmad",RB,NYG,2010,16,276,1235,8,58,47,314,,,,,,,6
"Bradshaw, Ahmad",RB,NYG,2011,12,171,659,9,44,34,267,2,,,,,1,
"Brady, Tom",QB,NE,2009,16,29,44,1,,,,,565,371,4398,28,2,13
"Brady, Tom",QB,NE,2010,16,31,30,1,,,,,492,324,3900,36,4,1
"Brady, Tom",QB,NEP,2011,16,43,109,3,,,,,611,401,5235,39,2,12
"Branch, Deion",WR,SEA,2009,14,1,-8,,79,45,437,2,,,,,,
"Branch, Deion",WR,SEA,2010,15,,,,92,61,818,6,,,,,,1
"Branch, Deion",WR,NEP,2011,15,,,,87,51,702,5,,,,,,
"Brandstater, Tom",QB,STL,2011,1,,,,,,,,2,0,0,,,
"Breaston, Steve",WR,ARI,2009,15,2,44,,82,55,712,3,,,,,,
"Breaston, Steve",WR,ARI,2010,13,3,35,,87,47,718,1,,,,,,
"Breaston, Steve",WR,KCC,2011,16,1,25,,98,61,785,2,,,,,,
"Brees, Drew",QB,NO,2009,15,22,33,2,,,,,514,363,4388,34,6,11
"Brees, Drew",QB,NO,2010,16,18,-3,,,,,,658,448,4620,33,22,2
"Brees, Drew",QB,NOS,2011,16,21,86,1,,,,,657,468,5476,46,1,14
"Brinkley, Curtis",RB,SD,2010,3,2,11,,,,,,,,,,,
"Brinkley, Curtis",RB,SDC,2011,10,30,101,1,9,7,41,,,,,,,
"Briscoe, Dezmon",WR,TB,2010,2,,,,7,6,93,1,,,,,,
"Briscoe, Dezmon",WR,TBB,2011,16,,,,51,35,387,6,,,,,,
"Britt, Kenny",WR,TEN,2009,16,,,,75,42,701,3,,,,,1,
"Britt, Kenny",WR,TEN,2010,12,,,,73,42,775,9,,,,,,1
"Britt, Kenny",WR,TEN,2011,3,,,,26,17,289,3,,,,,1,
"Brock, Kevin",TE,BUF,2011,2,,,,2,2,27,,,,,,,
"Brockel, Richie",TE,CAR,2011,11,3,12,1,3,3,13,,,,,,,
"Brohm, Brian",QB,BUF,2009,2,3,-3,,,,,,29,17,146,,,2
"Brohm, Brian",QB,BUF,2010,1,,,,,,,,23,10,106,,3,1
"Brooks, Chris",WR,IND,2010,1,,,,,,,,,,,,,
"Brown, Aaron",RB,DET,2009,15,27,131,,15,9,84,1,,,,,,
"Brown, Aaron",RB,DET,2010,6,17,58,,13,8,45,,,,,,,
"Brown, Aaron",RB,DET,2011,1,1,0,,1,1,9,,,,,,,
"Brown, Andre",RB,DEN,2010,4,2,-1,,,,,,,,,,,
"Brown, Antonio",WR,PIT,2010,9,,,,19,16,167,,,,,,,
"Brown, Antonio",WR,PIT,2011,16,7,41,,124,69,1108,2,,,,,,
"Brown, Chris",RB,HOU,2009,14,79,267,3,21,16,74,,,,,,1,1
"Brown, Donald",RB,IND,2009,11,78,281,3,14,11,169,,,,,,,
"Brown, Donald",RB,IND,2010,13,129,497,2,28,20,205,,,,,,,
"Brown, Donald",RB,IND,2011,16,134,645,5,19,16,86,,,,,,,
"Brown, Levi",QB,BUF,2010,1,,,,,,,,3,2,24,,1,
"Brown, Reggie",WR,PHI,2009,14,1,-3,,24,9,155,,,,,,,
"Brown, Ronnie",RB,MIA,2009,9,147,648,8,20,14,98,,,,,,1,
"Brown, Ronnie",RB,MIA,2010,16,200,734,5,43,33,242,,,,,,,2
"Brown, Ronnie",RB,PHI,2011,16,42,136,1,2,0,0,,,,,,1,
"Brown, Vincent",WR,SDC,2011,14,,,,40,19,329,2,,,,,,
"Bruce, Isaac",WR,SF,2009,10,1,-8,,49,21,264,,,,,,,
"Brunell, Mark",QB,NO,2009,16,4,-12,,,,,,30,15,102,,,1
"Brunell, Mark",QB,NYJ,2010,2,,,,,,,,13,7,117,2,1,
"Brunell, Mark",QB,NYJ,2011,16,,,,,,,,3,1,27,,,
"Bryant, Antonio",WR,TB,2009,13,,,,86,39,600,4,,,,,,
"Bryant, Dez",WR,DAL,2010,12,1,,,72,45,561,6,,,,,,
"Bryant, Dez",WR,DAL,2011,15,1,5,,103,63,928,9,,,,,1,
"Buckhalter, Correll",RB,DEN,2009,14,120,642,1,38,31,240,,,,,,2,
"Buckhalter, Correll",RB,DEN,2010,15,59,147,2,39,28,240,2,,,,,,1
"Buckley, Eldra",RB,PHI,2009,16,15,44,1,,,,,,,,,,
"Buckley, Eldra",RB,PHI,2010,16,21,67,,2,1,10,,,,,,,1
"Bulger, Marc",QB,STL,2009,9,8,22,,,,,,247,140,1469,5,1,6
"Burleson, Nate",WR,SEA,2009,13,2,4,,103,63,812,3,,,,,2,
"Burleson, Nate",WR,DET,2010,14,7,81,,86,55,625,6,,,,,,2
"Burleson, Nate",WR,DET,2011,16,11,85,,110,73,757,3,,,,,1,
"Burress, Plaxico",WR,NYJ,2011,16,,,,96,45,612,8,,,,,,
"Burton, Keenan",WR,STL,2009,9,,,,44,25,253,,,,,,,
"Bush, Michael",RB,OAK,2009,16,123,589,3,19,17,105,,,,,,2,
"Bush, Michael",RB,OAK,2010,14,158,655,8,24,18,194,,,,,,,
"Bush, Michael",RB,OAK,2011,16,256,977,7,47,37,418,1,,,,,1,
"Bush, Reggie",RB,NO,2009,14,70,390,5,68,47,335,3,,,,,1,
"Bush, Reggie",RB,NO,2010,8,36,150,,42,34,208,1,,,,,,
"Bush, Reggie",RB,MIA,2011,15,216,1086,6,52,43,296,1,,,,,2,
"Butler, Deon",WR,SEA,2009,16,,,,42,15,175,,,,,,,
"Butler, Deon",WR,SEA,2010,13,2,6,,70,36,385,4,,,,,,
"Butler, Deon",WR,SEA,2011,5,,,,7,6,51,,,,,,,
"Byham, Nate",TE,SF,2010,14,,,,7,5,27,,,,,,,
"Cain, Jeremy",RB,JAC,2009,16,,,,,,,,,,,,,
"Caldwell, Andre",WR,CIN,2009,16,3,22,,80,51,432,3,,,,,,
"Caldwell, Andre",WR,CIN,2010,15,1,-2,,37,25,345,,,,,,,
"Caldwell, Andre",WR,CIN,2011,13,,,,68,37,317,3,,,,,,
"Calhoun, Duke",WR,NYG,2010,9,,,,2,1,4,,,,,,,
"Camarillo, Greg",WR,MIA,2009,16,,,,71,50,552,,,,,,,
"Camarillo, Greg",WR,MIN,2010,16,,,,34,20,240,1,,,,,,
"Camarillo, Greg",WR,MIN,2011,13,,,,24,9,121,,,,,,,
"Cameron, Jordan",TE,CLE,2011,8,,,,13,6,33,,,,,,,
"Campbell, Jason",QB,WAS,2009,16,46,236,1,,,,,507,327,3618,20,3,15
"Campbell, Jason",QB,OAK,2010,13,47,222,1,,,,,329,194,2387,13,8,1
"Campbell, Jason",QB,OAK,2011,6,18,60,2,,,,,165,100,1170,6,1,4
"Carlson, John",TE,SEA,2009,16,,,,83,51,574,7,,,,,,
"Carlson, John",TE,SEA,2010,15,,,,58,31,318,1,,,,,,
"Carr, David",QB,NYG,2009,6,9,27,1,,,,,33,21,225,1,,
"Carr, David",QB,SF,2010,1,,,,,,,,13,5,67,,1,
"Carter, Delone",RB,IND,2011,16,101,377,2,8,5,18,,,,,,3,
"Carter, Tim",WR,STL,2009,2,,,,5,1,6,,,,,,,
"Cartwright, Rock",RB,WAS,2009,16,64,228,,32,27,242,1,,,,,,
"Cartwright, Rock",RB,OAK,2010,16,9,22,,3,1,10,,,,,,,
"Cartwright, Rock",RB,OAK,2011,15,4,45,,6,4,24,,,,,,,
"Casey, James",TE,HOU,2009,15,,,,12,6,64,,,,,,,
"Casey, James",TE,HOU,2010,16,,,,14,8,98,,,,,,,
"Casey, James",RB,HOU,2011,14,1,11,,24,18,260,1,,,,,,
"Cassel, Matt",QB,KC,2009,15,50,189,,,,,,493,271,2924,16,3,16
"Cassel, Matt",QB,KC,2010,15,33,125,,,,,,450,262,3116,27,7,1
"Cassel, Matt",QB,KCC,2011,9,25,99,,,,,,269,160,1713,10,2,9
"Castille, Tim",RB,KC,2009,7,14,55,,6,4,37,1,,,,,1,1
"Castille, Tim",RB,KC,2010,10,5,3,,12,10,43,,,,,,,
"Caulcrick, Jehuu",RB,BUF,2010,2,1,2,,,,,,,,,,,
"Caussin, Mike",TE,BUF,2011,6,,,,6,5,41,,,,,,,
"Celek, Brent",TE,PHI,2009,16,,,,112,76,971,8,,,,,,
"Celek, Brent",TE,PHI,2010,16,,,,80,42,511,4,,,,,,
"Celek, Brent",TE,PHI,2011,16,,,,97,62,811,5,,,,,,
"Chambers, Chris",WR,SD,2009,16,,,,92,45,730,5,,,,,,
"Chambers, Chris",WR,KC,2010,13,,,,43,22,213,1,,,,,,
"Chandler, Scott",TE,DAL,2010,13,,,,3,1,8,,,,,,,
"Chandler, Scott",TE,BUF,2011,14,,,,46,38,389,6,,,,,1,
"Chapas, Shaun",RB,DAL,2011,3,,,,1,1,9,,,,,,,
"Charles, Jamaal",RB,KC,2009,15,190,1120,7,56,40,297,1,,,,,2,
"Charles, Jamaal",RB,KC,2010,16,230,1467,5,64,45,468,3,,,,,,2
"Charles, Jamaal",RB,KCC,2011,2,12,83,,6,5,9,1,,,,,1,
"Choice, Tashard",RB,DAL,2009,16,64,349,3,22,15,132,,,,,,,
"Choice, Tashard",RB,DAL,2010,16,66,243,3,22,17,109,,,,,,,1
"Choice, Tashard",RB,DAL,2011,13,57,152,1,30,19,124,,,,,,2,
"Clark, Brian",WR,TB,2009,14,,,,18,6,65,,,,,,,
"Clark, Brian",WR,DET,2010,4,,,,1,,,,,,,,,
"Clark, Dallas",TE,IND,2009,16,2,11,,132,100,1106,10,,,,,,
"Clark, Dallas",TE,IND,2010,6,,,,53,37,347,3,,,,,,
"Clark, Dallas",TE,IND,2011,11,,,,65,34,352,2,,,,,1,
"Clark, Desmond",TE,CHI,2009,11,,,,34,19,145,2,,,,,,
"Clark, Desmond",TE,CHI,2010,5,,,,2,1,12,,,,,,,
"Clausen, Jimmy",QB,CAR,2010,13,23,57,,,,,,299,157,1558,3,9,2
"Clay, Charles",RB,MIA,2011,14,,,,25,16,233,3,,,,,,
"Clay, John",RB,PIT,2011,2,10,41,1,,,,,,,,,,
"Clayton, Mark",WR,BAL,2009,14,4,28,,74,34,480,2,,,,,1,
"Clayton, Mark",WR,STL,2010,5,1,6,,42,23,306,2,,,,,,
"Clayton, Mark",WR,STL,2011,2,,,,5,3,26,,,,,,,
"Clayton, Michael",WR,TB,2009,13,,,,48,16,230,1,,,,,,
"Clayton, Michael",WR,NYG,2010,6,,,,4,2,19,,,,,,,
"Clayton, Michael",WR,NYG,2011,5,,,,1,0,0,,,,,,,
"Clayton, Thomas",RB,CLE,2010,3,7,17,,,,,,,,,,,
"Clayton, Thomas",RB,CLE,2011,3,8,12,,1,1,3,,,,,,,
"Clemens, Kellen",QB,NYJ,2009,10,12,1,,,,,,26,13,125,,,
"Clemens, Kellen",QB,NYJ,2010,1,2,9,1,,,,,2,1,6,,,
"Clemens, Kellen",QB,STL,2011,3,6,37,1,,,,,91,48,546,2,,1
"Cloherty, Colin",TE,IND,2009,1,,,,1,1,2,,,,,,,
"Cloherty, Colin",TE,SF,2010,2,,,,,,,,,,,,,
"Cloherty, Colin",TE,JAC,2011,4,,,,8,4,57,,,,,,,
"Clowney, David",WR,NYJ,2009,13,3,1,,22,14,191,1,,,,,,
"Clowney, David",WR,NYJ,2010,13,,,,16,7,124,,,,,,,
"Clutts, Tyler",RB,CHI,2011,16,,,,10,8,48,,,,,,,
"Coats, Daniel",TE,CIN,2009,16,,,,31,16,150,,,,,,1,
"Coats, Daniel",TE,CIN,2010,10,,,,2,,,,,,,,,
"Cobb, Randall",WR,GBP,2011,15,2,5,,31,25,375,1,,,,,3,
"Cobbs, Patrick",RB,MIA,2009,5,6,36,,4,3,23,,,,,,,
"Cobbs, Patrick",RB,MIA,2010,16,4,,,19,8,91,2,,,,,,
"Cochart, Colin",TE,CIN,2011,10,,,,9,5,44,1,,,,,,
"Coffee, Glen",RB,SF,2009,14,83,226,1,18,11,76,,,,,,,
"Coffman, Chase",TE,CIN,2010,6,,,,5,3,30,,,,,,,
"Colbert, Keary",WR,KCC,2011,7,,,,12,9,89,,,,,,,
"Coles, Laveranues",WR,CIN,2009,16,2,10,,76,43,514,5,,,,,,
"Collie, Austin",WR,IND,2009,16,2,1,,90,60,676,7,,,,,,
"Collie, Austin",WR,IND,2010,9,,,,71,58,649,8,,,,,,1
"Collie, Austin",WR,IND,2011,16,,,,94,54,514,1,,,,,,
"Collins, Jed",RB,NOS,2011,16,4,4,2,14,11,50,2,,,,,,
"Collins, Kerry",QB,TEN,2009,7,11,15,1,,,,,216,119,1225,6,2,8
"Collins, Kerry",QB,TEN,2010,10,10,1,,,,,,278,160,1823,14,8,3
"Collins, Kerry",QB,IND,2011,3,2,-1,,,,,,98,48,481,2,3,1
"Collins, Todd",QB,WAS,2009,3,1,,,,,,,23,12,144,,,
"Collins, Todd",QB,CHI,2010,2,,,,,,,,27,10,68,,5,
"Colston, Marques",WR,NO,2009,16,1,6,,106,70,1074,9,,,,,2,
"Colston, Marques",WR,NO,2010,15,1,1,,132,84,1023,7,,,,,,
"Colston, Marques",WR,NOS,2011,14,,,,107,80,1143,8,,,,,1,
"Conner, John",RB,NYJ,2010,16,8,44,1,4,2,9,,,,,,,
"Conner, John",RB,NYJ,2011,16,13,44,1,5,2,9,,,,,,,
"Cook, Jared",TE,TEN,2009,14,,,,15,9,74,,,,,,,
"Cook, Jared",TE,TEN,2010,16,,,,45,29,361,1,,,,,,
"Cook, Jared",TE,TEN,2011,16,,,,81,49,759,3,,,,,2,
"Cooley, Chris",TE,WAS,2009,7,,,,45,29,332,2,,,,,,
"Cooley, Chris",TE,WAS,2010,16,,,,126,77,849,3,,,,,,1
"Cooley, Chris",TE,WAS,2011,5,2,3,,13,8,65,,,,,,,
"Cooper, Riley",WR,PHI,2010,13,,,,18,7,116,1,,,,,,
"Cooper, Riley",WR,PHI,2011,16,,,,35,16,315,1,,,,,,
"Copper, Terrance",WR,KC,2009,15,,,,6,4,68,,,,,,,
"Copper, Terrance",WR,KC,2010,16,,,,28,18,157,,,,,,,
"Copper, Terrance",WR,KCC,2011,16,,,,12,8,114,,,,,,,
"Cosby, Quan",WR,CIN,2009,16,1,-2,,6,4,55,,,,,,,
"Cosby, Quan",WR,CIN,2010,16,,,,2,2,16,,,,,,,
"Cotchery, Jerricho",WR,NYJ,2009,14,2,7,1,96,57,821,3,,,,,,
"Cotchery, Jerricho",WR,NYJ,2010,14,4,-3,,86,41,433,2,,,,,,
"Cotchery, Jerricho",WR,PIT,2011,13,1,3,,30,16,237,2,,,,,,
"Cottam, Brad",TE,KC,2009,8,,,,15,9,120,,,,,,,
"Cox, Mike",RB,KC,2009,16,3,5,1,13,10,79,,,,,,,
"Cox, Mike",RB,KC,2010,7,,,,4,4,27,,,,,,,
"Cox, Mike",RB,ATL,2011,9,,,,3,2,8,,,,,,,
"Crabtree, Michael",WR,SF,2009,11,,,,86,48,625,2,,,,,1,
"Crabtree, Michael",WR,SF,2010,16,,,,101,55,741,6,,,,,,
"Crabtree, Michael",WR,SFO,2011,15,1,6,,114,72,874,4,,,,,,
"Crabtree, Tom",TE,GB,2010,16,,,,7,4,61,,,,,,,
"Crabtree, Tom",TE,GBP,2011,16,,,,8,6,38,1,,,,,,
"Crayton, Patrick",WR,DAL,2009,16,4,28,,67,37,622,5,,,,,,
"Crayton, Patrick",WR,SD,2010,9,,,,42,28,514,1,,,,,,
"Crayton, Patrick",WR,SDC,2011,14,,,,34,23,248,1,,,,,,
"Cribbs, Joshua",WR,CLE,2009,16,55,381,1,37,20,135,1,,,,,2,1
"Cribbs, Joshua",WR,CLE,2010,15,20,66,,39,23,292,1,,,,,,
"Cribbs, Joshua",WR,CLE,2011,16,7,25,,67,41,518,4,,,,,1,
"Croyle, Brodie",QB,KC,2009,3,,,,,,,,40,23,230,2,,
"Croyle, Brodie",QB,KC,2010,2,,,,,,,,19,8,38,,1,
"Crumpler, Alge",TE,TEN,2009,16,,,,37,27,222,1,,,,,1,
"Crumpler, Alge",TE,NE,2010,16,,,,10,6,52,2,,,,,,
"Cruz, Victor",WR,NYG,2010,3,,,,,,,,,,,,,
"Cruz, Victor",WR,NYG,2011,16,1,3,,131,82,1536,9,,,,,1,
"Culpepper, Daunte",QB,DET,2009,8,18,91,,,,,,157,89,945,3,,6
"Cumberland, Jeff",TE,NYJ,2010,1,,,,2,1,3,,,,,,,
"Cumberland, Jeff",TE,NYJ,2011,3,,,,5,2,35,,,,,,,
