Name,Pos,Team,Year,Games Plyd,Rush,Rush Yards,Rush TD,Target,Catch,Catch yards,Catch TD,Pass,Complete,Pass Yards,Pass TD,Int,Fum
"Addai, Joseph",RB,IND,2009,15,219,828,10,63,51,336,3,,,,,1,
"Addai, Joseph",RB,IND,2010,8,116,495,4,26,19,124,,,,,,,1
"Addai, Joseph",RB,IND,2011,12,118,433,1,22,15,93,,,,,,,
"Aiken, Sam",WR,NE,2009,14,,,,41,20,326,2,,,,,,
"Aiken, Sam",WR,CLE,2010,3,,,,1,1,7,,,,,,,
"Ajirotutu, Seyi",WR,SD,2010,10,,,,23,13,262,2,,,,,,
"Ajirotutu, Seyi",WR,CAR,2011,14,,,,2,1,4,,,,,,,
"Alexander, Danario",WR,STL,2010,8,,,,37,20,306,1,,,,,,
"Alexander, Danario",WR,STL,2011,10,,,,60,26,431,2,,,,,,
"Allen, Anthony",RB,BAL,2011,5,3,8,,,,,,,,,,,
"Allen, Armando",RB,CHI,2011,2,15,48,,1,0,0,,,,,,,
"Allen, Jake",WR,GB,2009,3,,,,1,,,,,,,,,
"Amendola, Danny",WR,STL,2009,14,3,-2,,63,43,326,1,,,,,,
"Amendola, Danny",WR,STL,2010,16,7,81,,123,85,689,3,,,,,,1
"Amendola, Danny",WR,STL,2011,1,,,,6,5,45,,,,,,,
"Anderson, Andre",RB,BUF,2010,2,,,,,,,,,,,,,
"Anderson, David",WR,HOU,2009,16,,,,53,38,370,,,,,,,
"Anderson, David",WR,HOU,2010,12,,,,18,11,117,,,,,,,
"Anderson, David",WR,HOU,2011,6,,,,15,7,79,1,,,,,,
"Anderson, Deon",RB,DAL,2009,16,,,,3,1,5,,,,,,,
"Anderson, Deon",RB,DAL,2010,1,,,,,,,,,,,,,
"Anderson, Derek",QB,CLE,2009,8,10,8,2,,,,,182,81,888,3,3,10
"Anderson, Derek",QB,ARI,2010,12,5,25,,,,,,327,169,2065,7,10,3
"Anderson, Derek",QB,CAR,2011,2,2,-2,,,,,,,,,,,
"Arceneaux, Emmanuel",WR,MIN,2011,3,,,,2,1,10,,,,,,,
"Armstrong, Anthony",WR,WAS,2010,15,,,,86,44,871,3,,,,,,1
"Armstrong, Anthony",WR,WAS,2011,14,2,19,,25,7,103,2,,,,,,
"Aromashodu, Devin",WR,CHI,2009,10,,,,43,24,298,4,,,,,,
"Aromashodu, Devin",WR,CHI,2010,14,,,,24,10,149,,,,,,,
"Aromashodu, Devin",WR,MIN,2011,16,,,,84,26,468,1,,,,,,
"Arrington, Adrian",WR,NO,2010,1,,,,9,7,79,,,,,,,
"Arrington, Adrian",WR,NOS,2011,4,,,,3,2,31,,,,,,,
